,yield [thousands of bushels],price [$/bushel],total
814,232.91,4.956,1154301.96
815,234.25,5.915,1385588.7500000002
816,214.27,6.572,1408182.44
817,247.3,5.136,1270132.8
818,250.01,6.451,1612814.51
819,240.51,9.891,2378884.41
820,237.56,10.077,2393892.12
821,258.69,6.253,1617588.57
822,241.13,5.45,1314158.5
823,256.92,5.913,1519167.9600000002
824,245.49,7.52,1846084.7999999998
825,221.27,10.571,2339045.17
826,228.71,5.697,1302960.87
827,261.54,8.544,2234597.7600000002
828,217.21,6.293,1366902.53
829,270.43,6.244,1688564.92
830,223.76,9.666,2162864.16
831,235.18,6.512,1531492.16
832,234.26,7.755,1816686.2999999998
833,265.33,8.054,2136967.82
834,277.74,2.088,579921.1200000001
835,242.7,5.469,1327326.3
836,241.6,8.876,2144441.5999999996
837,258.8,5.581,1444362.8
838,248.17,9.011,2236259.8699999996
839,245.55,6.939,1703871.4500000002
840,254.25,9.588,2437749.0
841,251.83,6.97,1755255.1
842,255.48,4.994,1275867.1199999999
843,254.15,8.806,2238044.9
844,219.74,5.958,1309210.92
845,236.33,3.158,746330.14
846,232.82,6.344,1477010.08
847,214.66,4.091,878174.06
848,256.07,7.307,1871103.49
849,251.94,6.679,1682707.2600000002
850,223.78,4.284,958673.5199999999
851,255.65,5.851,1495808.1500000001
852,237.58,8.951,2126578.5800000005
853,243.71,6.397,1559012.87
854,248.39,7.581,1883044.59
855,219.77,7.242,1591574.34
856,256.89,7.93,2037137.6999999997
857,268.6,8.518,2287934.8000000003
858,248.5,7.499,1863501.4999999998
859,252.11,6.999,1764517.8900000001
860,253.79,5.85,1484671.5
861,265.93,7.001,1861775.9300000002
862,243.63,6.102,1486630.2600000002
863,261.31,6.0,1567860.0000000002
864,237.08,5.646,1338553.68
865,241.5,5.35,1292024.9999999998
866,234.96,7.675,1803318.0
867,253.41,5.461,1383872.01
868,239.63,7.881,1888524.03
869,237.98,10.557,2512354.86
870,252.92,5.685,1437850.2
871,265.16,5.345,1417280.2000000002
872,233.41,3.181,742477.21
873,227.47,5.828,1325695.16
874,233.35,5.415,1263590.25
875,257.38,3.459,890277.42
876,232.65,7.82,1819323.0
877,249.08,5.538,1379405.04
878,259.89,8.224,2137335.36
879,251.45,6.838,1719415.0999999999
880,262.2,8.313,2179668.6
881,222.96,7.47,1665511.2
882,257.79,7.513,1936776.27
883,224.6,3.386,760495.6
884,230.24,5.163,1188729.12
885,248.68,8.72,2168489.6000000006
886,245.59,8.931,2193364.29
887,234.26,5.633,1319586.5799999998
888,257.0,5.341,1372637.0
889,251.4,6.542,1644658.7999999998
890,231.81,8.893,2061486.33
891,258.36,6.844,1768215.84
892,237.46,5.193,1233129.78
893,250.94,6.778,1700871.32
894,242.96,7.285,1769963.6
895,246.78,6.756,1667245.68
896,236.82,3.17,750719.3999999999
897,254.43,6.209,1579755.8699999999
898,246.99,8.438,2084101.6200000003
899,261.67,5.322,1392607.7400000002
900,245.77,4.703,1155856.31
901,247.99,6.09,1510259.1
902,258.14,4.504,1162662.5599999998
903,244.2,4.674,1141390.8
904,237.51,7.524,1787025.24
905,238.59,8.321,1985307.39
906,257.14,7.436,1912093.04
907,237.56,7.805,1854155.8
908,249.36,5.015,1250540.4000000001
909,233.62,9.587,2239714.94
910,221.4,7.716,1708322.4
911,207.83,7.293,1515704.1900000002
912,264.68,3.873,1025105.64
913,211.67,5.942,1257743.1400000001
914,229.97,5.923,1362112.31
915,247.07,8.575,2118625.2499999995
916,242.77,5.465,1326738.0499999998
917,233.14,4.585,1068946.9
918,261.39,6.378,1667145.42
919,254.97,6.996,1783770.12
920,255.38,7.327,1871169.26
921,252.64,5.281,1334191.8399999999
922,233.99,9.442,2209333.58
923,233.57,4.948,1155704.3599999999
924,252.23,6.043,1524225.89
925,230.59,10.598,2443792.8200000003
926,249.76,7.038,1757810.88
927,214.19,7.801,1670896.19
928,246.18,6.178,1520900.04
929,243.59,5.347,1302475.7300000002
930,230.48,4.803,1106995.44
931,245.0,9.953,2438484.9999999995
932,259.73,3.789,984116.9700000002
933,250.13,3.851,963250.63
934,246.8,8.054,1987727.2000000002
935,239.66,7.841,1879174.06
936,249.78,7.677,1917561.06
937,241.98,4.018,972275.6399999999
938,244.67,5.185,1268613.95
939,251.65,3.693,929343.4500000001
940,260.44,2.479,645630.76
941,257.67,2.029,522812.43000000005
942,252.63,6.722,1698178.8599999999
943,261.6,9.472,2477875.1999999997
944,253.11,6.158,1558651.3800000004
945,229.39,7.155,1641285.45
946,253.41,4.829,1223716.89
947,260.78,5.123,1335975.9399999997
948,260.53,8.997,2343988.41
949,263.49,8.886,2341372.14
950,238.77,4.073,972510.2100000002
951,245.77,6.804,1672219.08
952,229.21,2.439,559043.19
953,245.16,4.822,1182161.52
954,244.56,8.021,1961615.7600000002
955,226.23,6.041,1366655.43
956,245.62,7.716,1895203.9200000002
957,249.42,5.634,1405232.28
958,273.86,5.825,1595234.5
959,264.17,3.29,869119.3
960,232.92,4.234,986183.2799999999
961,246.3,8.61,2120643.0
962,247.69,6.436,1594132.84
963,259.13,7.062,1829976.06
964,249.16,6.792,1692294.72
965,259.05,10.682,2767172.1
966,255.76,9.65,2468084.0
967,244.27,5.481,1338843.8699999999
968,240.26,5.625,1351462.4999999998
969,230.66,7.072,1631227.52
970,240.92,9.912,2387999.04
971,228.14,10.056,2294175.84
972,226.68,8.108,1837921.4400000002
973,236.27,6.434,1520161.1800000002
974,264.51,4.049,1071000.99
975,270.94,7.42,2010374.8
976,230.16,6.248,1438039.6800000002
977,248.65,8.758,2177676.7
978,223.89,5.615,1257142.35
979,258.52,6.296,1627641.92
980,243.9,5.699,1389986.1
981,230.93,4.953,1143796.29
982,236.8,8.564,2027955.2000000002
983,238.06,5.381,1281000.86
984,254.63,4.252,1082686.7599999998
985,222.17,3.585,796479.45
986,228.12,7.72,1761086.4
987,265.11,7.789,2064941.7899999998
988,233.87,4.693,1097551.91
989,241.03,10.977,2645786.31
990,251.53,4.872,1225454.16
991,246.23,6.876,1693077.48
992,237.02,4.536,1075122.7199999997
993,254.05,5.639,1432587.9500000002
994,259.02,3.835,993341.7
995,246.38,4.579,1128174.02
996,253.58,6.767,1715975.8600000003
997,242.81,6.918,1679759.58
998,259.14,6.701,1736497.1399999997
999,263.7,7.126,1879126.2
