,yield [thousands of bushels],price [$/bushel],total
820,237.75,8.374,1990918.5000000002
821,258.52,6.577,1700286.04
822,241.42,5.592,1350020.6399999997
823,256.58,6.167,1582328.8599999999
824,245.77,6.167,1515663.59
825,220.29,11.17,2460639.3
826,228.54,6.73,1538074.2
827,261.78,5.89,1541884.1999999997
828,217.21,5.082,1103861.22
829,270.4,3.242,876636.7999999999
830,223.86,7.218,1615821.48
831,235.39,6.35,1494726.4999999998
832,234.17,4.241,993114.9699999999
833,265.05,8.335,2209191.7500000005
834,278.27,4.414,1228283.7799999998
835,242.49,2.805,680184.4500000001
836,241.39,3.927,947938.53
837,258.72,3.141,812639.52
838,248.41,7.69,1910272.9000000001
839,244.96,8.614,2110085.4400000004
840,254.69,11.454,2917219.2600000002
841,251.21,8.191,2057661.1100000006
842,255.35,5.652,1443238.2
843,254.27,3.77,958597.9000000001
844,219.68,6.188,1359379.84
845,235.83,4.52,1065951.5999999999
846,234.17,8.168,1912700.5599999998
847,214.27,6.603,1414824.81
848,256.21,8.16,2090673.6
849,252.07,6.561,1653831.27
850,224.07,7.911,1772617.7699999998
851,255.31,7.152,1825977.12
852,237.68,9.104,2163838.7199999997
853,243.77,5.47,1333421.9000000001
854,248.18,4.885,1212359.3
855,219.08,9.774,2141287.92
856,257.62,7.241,1865426.42
857,268.91,6.126,1647342.6600000001
858,249.07,6.366,1585579.6199999999
859,251.37,6.627,1665828.99
860,254.35,4.472,1137453.2000000002
861,265.6,5.617,1491875.2000000002
862,243.73,5.047,1230105.3099999998
863,261.43,5.634,1472896.62
864,236.71,5.87,1389487.7000000002
865,242.03,8.295,2007638.85
866,234.3,8.746,2049187.8
867,253.61,5.581,1415397.4100000001
868,239.51,8.319,1992483.69
869,237.98,11.432,2720587.36
870,252.65,7.087,1790530.55
871,263.84,4.832,1274874.88
872,233.75,4.559,1065666.25
873,227.85,5.483,1249301.5499999998
874,232.54,5.247,1220137.38
875,256.36,3.75,961350.0
876,233.19,5.791,1350403.29
877,249.26,4.584,1142607.8399999999
878,260.34,5.667,1475346.7799999998
879,250.07,8.503,2126345.21
880,262.24,5.433,1424749.92
881,223.75,7.595,1699381.25
882,257.69,8.232,2121304.08
883,225.01,4.238,953592.38
884,230.43,5.699,1313220.57
885,248.63,8.046,2000476.98
886,245.71,5.812,1428066.52
887,234.59,4.963,1164270.17
888,257.05,3.564,916126.2000000001
889,251.89,6.124,1542574.3599999999
890,231.14,4.218,974948.5199999999
891,258.76,8.167,2113292.92
892,238.17,2.277,542313.09
893,251.11,5.726,1437855.86
894,243.16,7.702,1872818.3199999998
895,246.27,5.63,1386500.0999999999
896,236.54,6.138,1451882.5199999998
897,254.82,7.555,1925165.0999999999
898,247.58,8.61,2131663.8
899,260.58,6.214,1619244.12
900,245.19,7.969,1953919.11
901,248.19,3.173,787506.87
902,258.19,8.096,2090306.24
903,244.19,7.423,1812622.37
904,237.15,7.306,1732617.9
905,238.66,6.313,1506660.58
906,257.07,7.797,2004374.7899999998
907,237.43,7.436,1765529.4800000002
908,249.94,5.658,1414160.52
909,233.9,10.677,2497350.3000000003
910,221.47,4.846,1073243.6199999999
911,207.31,8.884,1841742.04
912,265.29,4.442,1178418.1800000002
913,212.13,9.027,1914897.5099999998
914,230.12,8.443,1942903.16
915,247.06,6.886,1701255.16
916,242.88,6.843,1662027.84
917,231.88,5.959,1381772.92
918,260.26,12.248,3187664.48
919,255.22,4.57,1166355.4000000001
920,255.41,5.611,1433105.5099999998
921,252.62,3.254,822025.48
922,233.28,7.32,1707609.6
923,234.03,7.685,1798520.55
924,251.78,3.734,940146.52
925,230.01,7.749,1782347.49
926,249.42,7.828,1952459.76
927,214.43,8.691,1863611.1300000001
928,245.59,6.438,1581108.42
929,244.46,4.738,1158251.4800000002
930,230.46,7.841,1807036.86
931,245.67,8.078,1984522.2599999998
932,259.5,8.903,2310328.5
933,250.57,4.188,1049387.16
934,247.85,8.417,2086153.4499999997
935,239.23,7.679,1837047.1700000002
936,250.1,6.28,1570628.0
937,242.37,2.79,676212.3
938,244.36,0.349,85281.64
939,251.1,5.675,1424992.4999999998
940,260.29,5.665,1474542.85
941,257.61,7.89,2032542.9
942,252.88,5.141,1300056.08
943,261.19,7.693,2009334.67
944,252.98,7.932,2006637.3599999999
945,229.25,6.457,1480267.2499999998
946,253.6,8.263,2095496.7999999998
947,260.52,4.459,1161658.6799999997
948,260.29,9.669,2516744.0100000002
949,263.56,4.398,1159136.8800000001
950,238.77,0.883,210833.91
951,245.81,6.364,1564334.84
952,229.04,6.668,1527238.72
953,245.15,8.705,2134030.75
954,244.42,7.611,1860280.6199999999
955,226.16,7.431,1680594.96
956,245.1,4.751,1164470.1
957,249.44,8.383,2091055.5199999998
958,273.82,8.929,2444938.78
959,263.43,3.826,1007883.18
960,233.71,8.012,1872484.5200000003
961,246.57,8.075,1991052.7499999998
962,248.07,7.106,1762785.42
963,259.23,8.013,2077209.9900000002
964,249.46,3.414,851656.4400000001
965,259.39,10.405,2698952.9499999997
966,255.69,9.197,2351580.9299999997
967,243.97,6.654,1623376.38
968,240.31,5.246,1260666.2600000002
969,230.82,4.582,1057617.24
970,241.21,8.756,2112034.76
971,228.01,4.876,1111776.76
972,226.14,7.406,1674792.8399999999
973,236.19,3.736,882405.84
974,263.93,7.507,1981322.51
975,270.82,6.855,1856471.1
976,230.59,7.666,1767702.9400000002
977,248.23,9.206,2285205.38
978,224.05,5.873,1315845.6500000001
979,257.27,4.473,1150768.7099999997
980,244.22,7.395,1806006.9
981,230.91,5.273,1217588.43
982,236.53,6.155,1455842.1500000001
983,238.61,2.809,670255.4900000001
984,254.42,2.618,666071.5599999999
985,221.9,3.441,763557.9
986,228.34,5.98,1365473.2000000002
987,264.37,4.791,1266596.6700000002
988,233.34,4.684,1092964.56
989,241.38,8.615,2079488.7
990,251.5,3.085,775877.4999999999
991,245.9,5.799,1425974.1
992,236.71,7.494,1773904.74
993,254.01,5.251,1333806.51
994,258.96,7.807,2021700.72
995,247.05,5.927,1464265.3499999999
996,253.23,6.957,1761721.1099999999
997,242.14,5.403,1308282.4199999997
998,259.24,5.875,1523035.0
999,264.38,9.474,2504736.12
