,yield [thousands of bushels],price [$/bushel],total,expected_income_options
550,256.14,6.068,1554257.5199999998,1471283.1800999998
551,232.8,6.995,1628436.0000000002,1388718.5601000004
552,260.38,8.397,2186410.86,1936992.9201000005
553,260.04,10.15,2639406.0000000005,2389988.060100001
554,226.57,4.278,969266.4599999998,1340681.9201
555,247.65,7.026,1739988.9000000001,1499102.9601000003
556,225.1,5.795,1304454.5,1283514.0601000001
557,248.11,6.299,1562844.8900000001,1433139.2501
558,254.32,7.157,1820168.24,1576924.3001
559,239.32,8.004,1915517.2799999998,1666099.3401
560,249.39,9.802,2444520.78,2195102.8401
561,250.18,7.77,1943898.6,1694480.6601000002
562,244.08,6.733,1643390.6400000001,1440379.4001000002
563,235.14,4.561,1072473.54,1366148.9001
564,236.3,6.364,1503813.2,1360958.0601000001
565,253.35,5.47,1385824.5,1441829.5601000001
566,246.11,8.343,2053295.7300000002,1803877.7901000003
567,255.19,5.582,1424470.5799999998,1453691.6401000002
568,262.05,5.988,1569155.4000000001,1502763.4601
569,242.52,6.991,1695457.32,1456300.2801000003
570,235.56,6.565,1546451.4000000001,1366976.9601000003
571,259.41,7.943,2060493.63,1811075.6901
572,235.29,8.293,1951259.9699999997,1701842.0300999999
573,223.64,8.322,1861132.0799999996,1611714.1400999997
574,227.54,7.348,1671963.92,1425281.9801
575,240.31,7.596,1825394.7600000002,1575976.8201000004
576,220.32,2.76,608083.2,1396493.2600999998
577,241.23,8.36,2016682.7999999998,1767264.8601
578,244.77,3.24,793054.8000000002,1449608.8601000002
579,237.7,7.988,1898747.5999999999,1649329.6601
580,208.01,5.5,1144054.9999999998,1192587.0601
581,249.94,8.498,2123990.12,1874572.1801000005
582,226.02,3.831,865882.62,1360088.9801
583,253.14,6.273,1587947.2199999997,1463501.3800999997
584,237.72,6.933,1648112.76,1417081.5201
585,266.29,9.389,2500196.81,2250778.8701000004
586,271.79,5.134,1395369.8600000003,1535072.5201000003
587,239.17,9.566,2287900.22,2038482.2801000008
588,229.34,4.89,1121472.6,1324771.6601000002
589,248.85,8.628,2147077.8,1897659.8601000002
590,245.37,6.249,1533317.13,1413726.4901
591,235.75,5.767,1359570.25,1345223.8101000004
592,216.87,8.251,1789394.3699999999,1539976.4301
593,238.09,6.498,1547108.82,1377145.4801
594,263.28,3.606,949387.6799999998,1505401.5401
595,253.07,7.479,1892710.53,1643670.5901000001
596,219.18,7.741,1696672.38,1447254.4401
597,234.46,7.013,1644267.98,1403616.0401
598,224.32,5.584,1252602.88,1281352.9401
599,259.09,8.756,2268592.04,2019174.1001000006
600,254.25,9.459,2404950.75,2155532.8101000004
601,234.92,8.195,1925169.4,1675751.4601
602,245.39,4.253,1043643.6699999999,1421926.6300999997
603,255.17,3.814,973218.3799999999,1472094.6401
604,240.68,6.657,1602206.76,1409843.1201000002
605,265.08,4.19,1110685.2000000002,1506274.2601000003
606,231.22,6.421,1484663.62,1330277.3801000002
607,250.05,4.332,1083216.5999999999,1439798.2601000003
608,237.18,5.946,1410272.2799999998,1353771.3401000001
609,238.97,6.198,1481136.06,1371862.7201
610,244.34,5.351,1307463.34,1393111.3001
611,265.25,5.822,1544285.5,1516986.5601000004
612,224.88,6.533,1469141.04,1294149.8001
613,259.95,7.274,1890876.2999999998,1645526.3601
614,254.24,9.373,2382991.52,2133573.5801000004
615,246.94,7.877,1945146.38,1695728.4401
616,205.18,8.686,1782193.4800000002,1532775.5401000003
617,253.0,5.883,1488399.0,1446734.5601
618,227.49,9.161,2084035.8900000001,1834617.9501000002
619,260.59,6.285,1637808.15,1510934.7101
620,234.43,8.487,1989607.4100000001,1740189.4701000003
621,268.34,4.588,1231143.92,1517402.3800999997
622,220.88,5.015,1107713.2,1277058.7601
623,268.99,2.772,745640.2799999999,1530753.9401
624,253.53,10.98,2783759.4,2534341.4601000003
625,259.22,11.363,2945516.8600000003,2696098.9201000007
626,254.92,5.184,1321505.28,1448752.9401000002
627,247.23,8.712,2153867.76,1904449.8201000001
628,241.54,3.836,926547.44,1419380.3000999999
629,230.78,6.903,1593074.3399999999,1366246.1001
630,265.07,5.128,1359278.9600000002,1500476.2201
631,257.38,7.6,1956088.0,1706670.0601000001
632,256.87,8.924,2292307.88,2042889.9401000005
633,258.38,3.291,850328.58,1492872.9401
634,248.66,6.297,1565812.0199999998,1436510.9801
635,233.09,7.418,1729061.6199999999,1481119.6801
636,242.73,6.815,1654204.95,1439705.5101
637,249.99,6.1,1524939.0,1435491.0601000001
638,242.45,8.276,2006516.1999999997,1757098.2600999998
639,254.5,6.141,1562884.5,1465142.2601
640,249.95,4.528,1131773.5999999999,1434514.0600999997
641,237.16,5.524,1310071.84,1352951.9001000002
642,247.83,5.365,1329607.9500000002,1411768.5101000003
643,265.38,7.463,1980530.94,1731779.0001
644,272.37,8.823,2403120.5100000002,2153702.5701000006
645,238.33,2.711,646112.63,1447982.9901
646,253.96,4.858,1233737.68,1445827.1400999997
647,271.23,3.858,1046405.34,1533194.8000999999
648,258.9,6.56,1698383.9999999998,1519610.0601
649,246.59,5.11,1260074.9000000001,1405755.9601000003
650,248.77,6.74,1676709.8,1472717.8601000002
651,239.79,6.117,1466795.43,1373908.3901000002
652,264.11,8.67,2289833.7,2040415.7601000008
653,247.51,8.982,2223134.82,1973716.8801000004
654,271.57,7.14,1939009.7999999998,1696071.8601
655,241.38,6.331,1528176.78,1391997.5401
656,209.74,8.737,1832498.38,1583080.4401
657,254.34,7.257,1845745.38,1600701.4401
658,258.5,7.653,1978300.4999999998,1728882.5601
659,227.0,6.996,1588092.0,1348234.4601
660,237.18,9.445,2240165.1,1990747.1601000007
661,254.01,4.887,1241346.8699999999,1445470.0301000003
662,253.27,5.934,1502904.18,1449229.2400999998
663,238.51,6.048,1442508.48,1363580.1401
664,255.28,9.349,2386612.72,2137194.7801000006
665,264.73,7.949,2104338.7700000005,1854920.8301000006
666,234.05,4.939,1155972.9500000002,1345811.7101000005
667,215.5,10.27,2213185.0,1963767.0601000006
668,245.91,7.049,1733419.59,1492119.6501000002
669,260.75,8.099,2111814.25,1862396.3101000004
670,236.93,7.257,1719401.01,1474357.0701000001
671,227.53,2.674,608415.22,1420449.4801
672,256.67,9.526,2445038.4200000004,2195620.4801000007
673,252.53,7.548,1906096.44,1656678.5001
674,231.17,6.941,1604550.9699999997,1372398.9300999998
675,249.31,8.969,2236061.3899999997,1986643.4501000002
676,224.97,2.796,629016.12,1407536.9801000003
677,253.25,6.429,1628144.25,1472139.6101
678,255.18,8.1,2066958.0,1817540.0601000001
679,216.23,6.09,1316840.7,1229415.7601
680,250.49,3.077,770757.73,1472087.8901000002
681,261.72,7.747,2027544.8400000003,1778126.9001000004
682,246.05,6.98,1717429.0,1479813.0601000001
683,242.54,6.606,1602219.24,1417000.7001
684,241.17,8.605,2075267.85,1825849.9101000002
685,262.93,8.789,2310891.77,2061473.8301000006
686,266.67,8.132,2168560.4400000004,1919142.5001000008
687,232.04,4.153,963662.1199999999,1369415.0800999997
688,259.17,7.76,2011159.2,1761741.2601
689,238.25,5.576,1328482.0,1359116.0601000004
690,246.56,8.63,2127812.8000000003,1878394.8601000006
691,271.95,3.173,862897.35,1537856.3101
692,250.07,4.439,1110060.73,1437249.4901000003
693,275.27,10.267,2826197.09,2576779.1501
694,251.99,7.183,1810044.1700000002,1566332.2301000003
695,236.7,9.06,2144502.0,1895084.0601000004
696,240.42,6.434,1546862.28,1389846.1401000002
697,262.88,6.858,1802831.0399999998,1582307.3000999999
698,239.65,7.786,1865914.9,1616496.9601
699,248.33,9.781,2428915.73,2179497.7901000003
700,258.9,7.414,1919484.5999999999,1671614.6601
701,234.44,8.295,1944679.7999999998,1695261.8601
702,203.7,10.152,2067962.4,1818544.4601
703,233.01,8.508,1982449.0799999996,1733031.1400999997
704,259.28,9.487,2459789.36,2210371.4201
705,254.9,10.46,2666254.0000000005,2416836.060100001
706,238.08,5.952,1417052.16,1359138.2201000003
707,262.23,6.433,1686925.59,1530111.7501
708,242.74,5.135,1246469.9000000001,1385923.4601000003
709,243.14,6.552,1593053.2799999998,1415400.1401
710,255.12,6.163,1572304.56,1470111.7201
711,248.55,5.668,1408781.4000000001,1417749.4601
712,243.25,7.522,1829726.5,1580308.5601000001
713,249.58,6.099,1522188.4200000002,1432942.7801000003
714,243.16,6.814,1656892.24,1442532.9001000002
715,253.02,3.991,1009802.8200000001,1460057.1801
716,222.53,8.691,1934008.2300000002,1684590.2901000003
717,235.58,5.52,1300401.5999999999,1344223.6601
718,227.76,4.979,1134017.04,1312867.8001000003
719,245.54,5.416,1329844.6400000001,1399301.1001000002
720,253.39,5.294,1341446.66,1441293.3201000001
721,228.71,4.904,1121593.84,1321047.1001000004
722,239.7,10.319,2473464.3000000003,2224046.3601000006
723,241.26,4.979,1201233.54,1380084.3001000003
724,239.75,7.985,1914403.7500000002,1664985.8101000004
725,248.88,7.684,1912393.92,1662975.9801
726,242.88,5.106,1240145.28,1386822.7401
727,266.82,9.337,2491298.34,2241880.4001
728,217.95,2.999,653632.0499999999,1376388.8100999997
729,236.78,4.556,1078769.6800000002,1373818.5401
730,252.15,5.392,1359592.8,1435027.6601000002
731,241.35,6.589,1590255.15,1407418.3101
732,252.93,8.003,2024198.79,1774780.8501000002
733,268.56,6.678,1793443.6800000002,1598137.9401000002
734,239.2,2.177,520738.39999999997,1469298.5601000001
735,240.81,6.334,1525290.54,1388504.4001000002
736,256.36,7.368,1888860.4800000002,1641818.5401000003
737,222.85,3.74,833459.0000000001,1352663.0601000001
738,223.93,5.205,1165555.65,1287572.2101
739,242.89,4.853,1178745.17,1392208.1300999997
740,251.1,2.605,654115.5,1485104.0600999997
741,241.39,7.066,1705661.7399999998,1464055.8000999999
742,233.61,7.436,1737123.9600000002,1488858.0201000003
743,251.73,1.879,473000.67,1503421.4301000002
744,241.98,5.461,1321452.78,1379699.7401
745,225.31,5.221,1176343.51,1294374.4701
746,252.13,6.969,1757093.9700000002,1521019.1301000002
747,197.12,5.199,1024826.8800000001,1148338.0401
748,254.76,6.826,1738991.7599999998,1522951.2201
749,260.4,5.642,1469176.8,1484267.8601000004
750,263.32,3.773,993506.36,1503645.3201
751,247.01,5.362,1324467.6199999999,1407375.4801000003
752,254.67,6.857,1746272.19,1525888.5501
753,248.34,10.339,2567587.2600000002,2318169.3201000006
754,246.43,5.751,1417218.9300000002,1406640.4901000003
755,226.47,6.532,1479302.04,1304450.9001000002
756,246.81,7.307,1803440.6700000002,1557496.7301000003
757,257.22,8.413,2163991.86,1914573.9201000002
758,235.16,5.992,1409078.72,1341744.7801000003
759,250.81,7.805,1957572.05,1708154.1101000002
760,230.12,5.377,1237355.2399999998,1316526.6001000002
761,232.45,4.337,1008135.6499999999,1363343.8101000004
762,259.48,3.654,948139.92,1490968.1801000002
763,234.87,6.156,1445859.72,1345082.9801000003
764,223.63,6.797,1520013.1099999999,1308035.4701
765,231.62,6.537,1514099.94,1338548.3001
766,235.58,5.95,1401701.0,1344258.0601000001
767,223.44,8.844,1976103.3599999999,1726685.4201
768,261.11,5.816,1518615.7600000002,1492729.8201000004
769,254.19,4.675,1188338.25,1450697.8101000001
770,254.6,4.256,1083577.6,1461036.4601
771,227.5,5.974,1359085.0,1295990.0601000001
772,263.45,5.302,1396811.9,1494665.7601000003
773,235.91,5.835,1376534.85,1346174.4101000002
774,267.42,4.22,1128512.4000000001,1515860.4601000003
775,261.91,4.981,1304573.7100000002,1482875.0701000001
776,260.03,7.501,1950485.0299999998,1701067.0901
777,243.49,7.877,1917970.73,1668552.7901
778,240.06,5.594,1342895.6400000001,1369290.7001
779,250.3,6.36,1591908.0000000002,1449862.0601000004
780,255.98,9.446,2417987.08,2168569.1401000004
781,230.7,7.029,1621590.2999999998,1380650.3601
782,244.05,12.198,2976921.9000000004,2727503.9601000007
783,223.19,7.537,1682183.03,1432765.0901000001
784,235.26,7.443,1751040.1799999997,1502648.2400999998
785,247.01,3.447,851443.47,1451134.6301000002
786,238.77,4.607,1100013.3900000001,1381052.5501000006
787,250.63,5.026,1259666.38,1426271.8401000001
788,255.18,5.986,1527507.48,1461586.5401
789,261.16,4.513,1178615.08,1485476.0400999999
790,253.6,4.759,1206882.4,1446167.1601000002
791,224.55,3.344,750895.2000000001,1378880.4601000003
792,225.28,4.733,1066250.2399999998,1312677.2000999998
793,255.75,6.079,1554704.25,1469504.6101000002
794,220.68,7.702,1699677.36,1450259.4201000002
795,250.4,9.593,2402087.1999999997,2152669.2601
796,258.36,7.547,1949842.9200000002,1700424.9801000003
797,242.16,2.605,630826.7999999999,1461815.3601
798,251.23,6.738,1692787.74,1489076.0001
799,234.27,6.806,1594441.62,1381203.0801000001
800,264.3,6.468,1709492.4000000001,1545598.0601000001
801,233.35,6.815,1590280.25,1375780.8101000001
802,217.23,5.28,1146974.4000000001,1250308.4601000003
803,278.17,6.011,1672079.87,1600636.6301000002
804,258.66,5.82,1505401.2000000002,1478573.2601000003
805,263.86,7.935,2093729.1,1844311.1601000002
806,250.78,3.382,848137.96,1465684.6201000002
807,245.87,11.233,2761857.7100000004,2512439.770100001
808,250.04,4.705,1176438.2,1430556.7601
809,235.73,7.855,1851659.15,1602241.2101
810,226.86,4.667,1058755.62,1323312.7801000006
811,252.89,7.828,1979622.92,1730204.9801
812,217.48,5.744,1249205.1199999999,1240275.1801
813,241.69,8.002,1934003.3800000001,1684585.4401000002
814,232.91,4.956,1154301.96,1339470.8201
815,234.25,5.915,1385588.7500000002,1336388.3101000004
816,214.27,6.572,1408182.44,1227727.3001
817,247.3,5.136,1270132.8,1409337.2601
818,250.01,6.451,1612814.51,1452359.2701000003
819,240.51,9.891,2378884.41,2129466.4701000005
820,237.56,10.077,2393892.12,2144474.1801000005
821,258.69,6.253,1617588.57,1497188.7301
822,241.13,5.45,1314158.5,1375145.5601000001
823,256.92,5.913,1519167.9600000002,1470438.5201
824,245.49,7.52,1846084.7999999998,1596666.8601
825,221.27,10.571,2339045.17,2089627.2301000003
826,228.71,5.697,1302960.87,1305099.4301000005
827,261.54,8.544,2234597.7600000002,1985179.8201000008
828,217.21,6.293,1366902.53,1238410.6901
829,270.43,6.244,1688564.92,1569985.7801
830,223.76,9.666,2162864.16,1913446.2201000005
831,235.18,6.512,1531492.16,1359443.0201
832,234.26,7.755,1816686.2999999998,1567268.3601
833,265.33,8.054,2136967.82,1887549.8801000002
834,277.74,2.088,579921.1200000001,1552929.5801
835,242.7,5.469,1327326.3,1383580.4601
836,241.6,8.876,2144441.5999999996,1895023.6601
837,258.8,5.581,1444362.8,1473819.3601000002
838,248.17,9.011,2236259.8699999996,1986841.9301000002
839,245.55,6.939,1703871.4500000002,1471999.6101000004
840,254.25,9.588,2437749.0,2188331.0601000004
841,251.83,6.97,1755255.1,1519040.1601000002
842,255.48,4.994,1275867.1199999999,1450597.3801000002
843,254.15,8.806,2238044.9,1988626.9601000005
844,219.74,5.958,1309210.92,1249883.9800999998
845,236.33,3.158,746330.14,1425409.6001
846,232.82,6.344,1477010.08,1338200.9401
847,214.66,4.091,878174.06,1300958.4201
848,256.07,7.307,1871103.49,1625159.5501
849,251.94,6.679,1682707.2600000002,1487261.4201000002
850,223.78,4.284,958673.5199999999,1328440.7800999999
851,255.65,5.851,1495808.1500000001,1461679.7101000003
852,237.58,8.951,2126578.5800000005,1877160.640100001
853,243.71,6.397,1559012.87,1409481.8301000004
854,248.39,7.581,1883044.59,1633626.6501000002
855,219.77,7.242,1591574.34,1346800.4001000002
856,256.89,7.93,2037137.6999999997,1787719.7600999998
857,268.6,8.518,2287934.8000000003,2038516.8601000009
858,248.5,7.499,1863501.4999999998,1614101.5601
859,252.11,6.999,1764517.8900000001,1524240.0501000003
860,253.79,5.85,1484671.5,1450778.5601000001
861,265.93,7.001,1861775.9300000002,1621339.9901000003
862,243.63,6.102,1486630.2600000002,1396777.7201000005
863,261.31,6.0,1567860.0000000002,1498642.0601000004
864,237.08,5.646,1338553.68,1352702.7401
865,241.5,5.35,1292024.9999999998,1377922.0601
866,234.96,7.675,1803318.0,1553900.0601000001
867,253.41,5.461,1383872.01,1442118.9701
868,239.63,7.881,1888524.03,1639106.0901000001
869,237.98,10.557,2512354.86,2262936.9201
870,252.92,5.685,1437850.2,1442814.7601
871,265.16,5.345,1417280.2000000002,1504422.7601000003
872,233.41,3.181,742477.21,1415238.5701
873,227.47,5.828,1325695.16,1296983.2200999998
874,233.35,5.415,1263590.25,1333295.8101000001
875,257.38,3.459,890277.42,1486672.1800999998
876,232.65,7.82,1819323.0,1569905.0601000001
877,249.08,5.538,1379405.04,1418988.1001
878,259.89,8.224,2137335.36,1887917.4201000002
879,251.45,6.838,1719415.0999999999,1501693.3601
880,262.2,8.313,2179668.6,1930250.6601000004
881,222.96,7.47,1665511.2,1416633.2601
882,257.79,7.513,1936776.27,1687358.3301000001
883,224.6,3.386,760495.6,1376943.4600999998
884,230.24,5.163,1188729.12,1321207.8801
885,248.68,8.72,2168489.6000000006,1919071.660100001
886,245.59,8.931,2193364.29,1943946.3501000006
887,234.26,5.633,1319586.5799999998,1336797.1400999997
888,257.0,5.341,1372637.0,1460775.9601
889,251.4,6.542,1644658.7999999998,1468406.6601
890,231.81,8.893,2061486.33,1812068.3901000002
891,258.36,6.844,1768215.84,1549653.5001
892,237.46,5.193,1233129.78,1358135.5401
893,250.94,6.778,1700871.32,1491555.5801000001
894,242.96,7.285,1769963.6,1524415.6601000002
895,246.78,6.756,1667245.68,1461012.1401
896,236.82,3.17,750719.3999999999,1426502.4600999998
897,254.43,6.209,1579755.8699999999,1468257.2301
898,246.99,8.438,2084101.6200000003,1834683.6801000005
899,261.67,5.322,1392607.7400000002,1485479.6001000006
900,245.77,4.703,1155856.31,1410524.2700999998
901,247.99,6.09,1510259.1,1422834.1601000002
902,258.14,4.504,1162662.5599999998,1471995.8201000001
903,244.2,4.674,1141390.8,1404025.0601000001
904,237.51,7.524,1787025.24,1537607.3001
905,238.59,8.321,1985307.39,1735889.4501
906,257.14,7.436,1912093.04,1663827.1001000002
907,237.56,7.805,1854155.8,1604737.8601000002
908,249.36,5.015,1250540.4000000001,1419885.9601000003
909,233.62,9.587,2239714.94,1990297.0001000005
910,221.4,7.716,1708322.4,1458904.4601
911,207.83,7.293,1515704.1900000002,1270012.2501000003
912,264.68,3.873,1025105.64,1507774.6001
913,211.67,5.942,1257743.1400000001,1202184.2001000005
914,229.97,5.923,1362112.31,1311027.8701
915,247.07,8.575,2118625.2499999995,1869207.3101
916,242.77,5.465,1326738.0499999998,1383988.6101
917,233.14,4.585,1068946.9,1356029.4601
918,261.39,6.378,1667145.42,1521458.0801
919,254.97,6.996,1783770.12,1543912.5801000001
920,255.38,7.327,1871169.26,1624865.3201000001
921,252.64,5.281,1334191.8399999999,1437276.8001
922,233.99,9.442,2209333.58,1959915.6401000007
923,233.57,4.948,1155704.3599999999,1343070.8200999997
924,252.23,6.043,1524225.89,1446309.0500999999
925,230.59,10.598,2443792.8200000003,2194374.8801000006
926,249.76,7.038,1757810.88,1516708.9401
927,214.19,7.801,1670896.19,1421478.2501
928,246.18,6.178,1520900.04,1415672.7001
929,243.59,5.347,1302475.7300000002,1389120.0901000004
930,230.48,4.803,1106995.44,1334193.4000999997
931,245.0,9.953,2438484.9999999995,2189067.0601
932,259.73,3.789,984116.9700000002,1489860.7301
933,250.13,3.851,963250.63,1451962.9901
934,246.8,8.054,1987727.2000000002,1738309.2601000003
935,239.66,7.841,1879174.06,1629756.1201000002
936,249.78,7.677,1917561.06,1668143.1201000002
937,241.98,4.018,972275.6399999999,1415113.1000999997
938,244.67,5.185,1268613.95,1395612.5101
939,251.65,3.693,929343.4500000001,1461458.4101
940,260.44,2.479,645630.76,1511231.5201
941,257.67,2.029,522812.43000000005,1512028.1901
942,252.63,6.722,1698178.8599999999,1496708.7201
943,261.6,9.472,2477875.1999999997,2228457.2601
944,253.11,6.158,1558651.3800000004,1457470.0401000003
945,229.39,7.155,1641285.45,1398077.5101
946,253.41,4.829,1223716.89,1443772.6501000002
947,260.78,5.123,1335975.9399999997,1478418.7000999996
948,260.53,8.997,2343988.41,2094570.4701000005
949,263.49,8.886,2341372.14,2091954.2001000005
950,238.77,4.073,972510.2100000002,1400239.1701
951,245.77,6.804,1672219.08,1459260.7401
952,229.21,2.439,559043.19,1435631.9500999998
953,245.16,4.822,1182161.52,1404140.1801000005
954,244.56,8.021,1961615.7600000002,1712197.8201000004
955,226.23,6.041,1366655.43,1289143.1901
956,245.62,7.716,1895203.9200000002,1645785.9801000003
957,249.42,5.634,1405232.28,1422207.3401
958,273.86,5.825,1595234.5,1567229.0601000001
959,264.17,3.29,869119.3,1511938.3601000002
960,232.92,4.234,986183.2799999999,1369685.5401
961,246.3,8.61,2120643.0,1871225.0601000004
962,247.69,6.436,1594132.84,1436712.1001000002
963,259.13,7.062,1829976.06,1588442.1201000002
964,249.16,6.792,1692294.72,1481017.5801000001
965,259.05,10.682,2767172.1,2517754.1601000004
966,255.76,9.65,2468084.0,2218666.0601000004
967,244.27,5.481,1338843.8699999999,1392108.8301
968,240.26,5.625,1351462.4999999998,1370557.0601
969,230.66,7.072,1631227.52,1389513.5801000001
970,240.92,9.912,2387999.04,2138581.1001000004
971,228.14,10.056,2294175.84,2044757.9001000004
972,226.68,8.108,1837921.4400000002,1588503.5001000003
973,236.27,6.434,1520161.1800000002,1363145.0401
974,264.51,4.049,1071000.99,1505322.7501
975,270.94,7.42,2010374.8,1762396.8601000002
976,230.16,6.248,1438039.6800000002,1318651.3401000001
977,248.65,8.758,2177676.7,1928258.7601000005
978,223.89,5.615,1257142.35,1278591.9101000002
979,258.52,6.296,1627641.92,1498543.1801
980,243.9,5.699,1389986.1,1391653.6601000002
981,230.93,4.953,1143796.29,1329789.2500999998
982,236.8,8.564,2027955.2000000002,1778537.2601000003
983,238.06,5.381,1281000.86,1359175.8201000001
984,254.63,4.252,1082686.7599999998,1461244.4201000002
985,222.17,3.585,796479.45,1358262.0101
986,228.12,7.72,1761086.4,1511668.4601
987,265.11,7.789,2064941.7899999998,1815523.8501
988,233.87,4.693,1097551.91,1354966.8700999997
989,241.03,10.977,2645786.31,2396368.3701000004
990,251.53,4.872,1225454.16,1433697.8201000004
991,246.23,6.876,1693077.48,1470031.9401
992,237.02,4.536,1075122.7199999997,1375665.5800999997
993,254.05,5.639,1432587.9500000002,1448385.5101
994,259.02,3.835,993341.7,1486449.2601
995,246.38,4.579,1128174.02,1416904.7801000003
996,253.58,6.767,1715975.8600000003,1508201.2201000005
997,242.81,6.918,1679759.58,1450829.8401000001
998,259.14,6.701,1736497.1399999997,1537969.1001
999,263.7,7.126,1879126.2,1636440.2601
