,yield [thousands of bushels],price [$/bushel],total,expected_income_options
556,226.35,6.544,1481234.4,1287042.2279
557,247.08,6.876,1698922.0800000003,1525392.6379
558,255.59,13.324,3405481.1599999997,1708404.4779
559,239.26,1.469,351472.94,1318132.8479
560,248.33,7.296,1811815.6800000002,1971398.0179000006
561,250.63,8.278,2074715.1400000001,1979670.2479
562,245.02,7.31,1791096.2,2562102.8479
563,235.37,8.472,1994054.64,1474116.6079000002
564,235.67,10.17,2396763.9,2419024.0179
565,252.87,8.391,2121832.17,1398906.3179
566,244.78,12.067,2953760.2600000002,1557393.9479000003
567,257.14,3.615,929561.1,1419945.5278999999
568,262.13,10.549,2765209.37,1680428.5879
569,241.74,9.727,2351404.9800000004,1538618.3779
570,236.58,4.816,1139369.28,1292355.9879000003
571,258.78,2.41,623659.8,1425063.9679000005
572,234.85,12.815,3009602.75,1287406.6079000002
573,223.9,4.176,935006.4000000001,1259904.4678999996
574,227.01,11.172,2536155.72,1736764.5279
575,239.99,8.082,1939599.1800000002,2246492.5579
576,219.39,8.375,1837391.25,1255409.5579000004
577,242.08,4.584,1109694.72,1734367.0879000002
578,243.56,7.163,1744620.28,1561402.5679
579,237.79,7.241,1721837.39,1326565.5679000001
580,206.21,11.714,2415543.94,1349175.0079
581,251.46,7.435,1869605.1,2070100.7779
582,227.3,10.058,2286183.4,1354724.0278999999
583,253.39,4.319,1094391.41,1475544.6479
584,238.62,4.936,1177828.32,1322579.4279
585,266.38,11.633,3098798.5399999996,1465004.5979000004
586,272.96,4.819,1315394.2399999998,1785898.5278999999
587,238.87,14.329,3422768.23,2390441.2578999996
588,228.56,6.073,1388044.8800000001,1259975.3379000002
589,248.34,4.591,1140128.94,1388991.6678999998
590,244.77,4.111,1006249.47,1378942.3978999995
591,235.76,6.129,1444973.0399999998,1322769.4979000003
592,216.72,10.244,2220079.6799999997,1421445.4479000003
593,236.02,12.354,2915791.08,1752898.0279
594,262.85,6.058,1592345.3000000003,1455719.7278999998
595,253.77,9.287,2356761.99,1399711.5278999999
596,220.39,7.456,1643227.84,1281676.9278999998
597,233.05,5.963,1389677.15,2012485.7279000005
598,224.24,10.386,2328956.6399999997,1289926.0679000001
599,259.29,12.089,3134556.8100000005,2349015.8479
600,254.5,6.175,1571537.5,1532109.5079
601,235.88,2.657,626733.16,1569401.3279000001
602,244.44,3.323,812274.1199999999,1364955.0479000004
603,254.79,6.72,1712188.7999999998,1795622.1079
604,241.39,7.945,1917843.55,1320949.0279
605,265.44,1.778,471952.32,1468385.2479000003
606,230.21,10.255,2360803.5500000003,1306591.8479000002
607,250.68,7.581,1900405.0800000003,1719784.8478999997
608,236.48,7.605,1798430.4,1305251.8478999997
609,238.04,7.633,1816959.3199999998,1868915.2779
610,245.25,6.209,1522757.25,1341174.8078999994
611,265.97,3.038,808016.8600000001,1500856.8078999997
612,224.28,5.683,1274583.24,1341602.2879000003
613,259.42,11.933,3095658.86,1530481.0078999999
614,254.77,5.754,1465946.58,1558405.3279000004
615,247.0,3.827,945269.0,1878631.0879000004
616,206.0,9.173,1889638.0,1272357.4878999998
617,252.64,5.765,1456469.5999999999,1456998.3079
618,229.2,7.768,1780425.5999999999,1706740.5679000001
619,258.5,6.899,1783391.5,1444979.8279000001
620,233.35,4.26,994070.9999999999,1690464.3679000002
621,269.35,10.291,2771880.8500000006,1542957.9879000005
622,220.54,7.717,1701907.18,1235512.9178999995
623,269.26,1.944,523441.43999999994,1480466.2478999996
624,252.58,8.883,2243668.1399999997,2118151.7779000006
625,259.43,7.514,1949357.0200000003,3049623.8679
626,255.74,4.902,1253637.48,1433860.8479000002
627,247.45,8.056,1993457.1999999995,1667380.7678999999
628,241.84,6.013,1454183.92,1394580.2079000003
629,229.76,6.556,1506306.56,1297710.6779
630,265.67,10.514,2793254.38,1475546.9379
631,256.59,7.176,1841289.8399999999,1429412.3279000001
632,257.27,11.875,3055081.2499999995,2169809.1679000002
633,260.31,1.262,328511.22,1616658.9278999998
634,249.23,9.797,2441706.31,1483054.9279000002
635,234.2,8.164,1912008.7999999998,1832925.9679
636,242.06,5.763,1394991.78,2146239.1779
637,248.92,8.688,2162616.96,1383784.2878999999
638,241.38,5.701,1376107.38,1367518.5479
639,255.28,11.519,2940570.3200000003,1479082.8978999997
640,250.28,6.524,1632826.72,1618449.0078999999
641,237.57,5.146,1222535.22,1529513.7979
642,247.64,3.272,810278.08,1723618.5279
643,266.04,2.805,746242.2000000002,1899635.8279000001
644,270.27,10.009,2705132.43,2496693.7279000003
645,238.26,5.411,1289224.8599999999,1359717.5278999999
646,255.47,4.146,1059178.6199999999,1398008.5079
647,270.76,5.159,1396850.8399999999,1524425.6079
648,258.49,6.191,1600311.59,1425323.5479
649,246.03,1.43,351822.9,1922229.3279000001
650,247.58,1.539,381025.62,1521230.6079
651,238.09,3.461,824029.49,1406445.4279
652,263.24,2.362,621772.8800000001,1741564.9679
653,247.14,11.651,2879428.14,1845964.8479
654,272.18,4.339,1180989.0200000003,1497858.7979000001
655,241.53,8.561,2067738.33,1427447.1278999997
656,208.13,8.913,1855062.69,1385889.4879
657,253.19,5.562,1408242.78,1685488.6678999995
658,257.94,5.358,1382042.52,1444686.5979000002
659,224.91,7.498,1686375.18,1935981.4479000003
660,238.33,11.863,2827308.79,1355874.7079
661,253.1,9.68,2450008.0,1462713.7879
662,252.63,5.531,1397296.5299999998,1391361.5078999999
663,237.19,10.672,2531291.68,1306149.7679
664,257.13,5.078,1305706.14,2047193.4079000002
665,263.72,5.429,1431735.8800000001,1476886.9479
666,233.37,8.868,2069525.1600000001,1305483.2078999998
667,214.61,6.016,1291093.76,1450421.9778999998
668,246.98,5.845,1443598.0999999999,1427271.6279
669,262.03,13.614,3567276.4199999995,1498659.6279000002
670,238.45,5.649,1347004.05,1381080.1279
671,229.8,4.655,1069719.0,1271916.6579000002
672,257.87,9.329,2405669.2300000004,1421990.7879
673,254.17,5.748,1460969.16,1607082.4279
674,232.0,10.844,2515808.0,1299605.4279
675,250.04,8.882,2220855.28,1371493.8879
676,225.75,1.349,304536.75,1232118.3279000001
677,254.23,13.865,3524898.9499999997,1484712.4278999998
678,255.06,6.184,1577291.04,1501426.9279000002
679,210.58,7.162,1508173.96,1187372.3179000004
680,250.5,6.131,1535815.5000000002,1428385.9779
681,259.41,11.543,2994369.6300000004,1607141.8279000001
682,244.92,7.198,1762934.16,1478166.1879
683,241.32,2.188,528008.16,1337808.0878999997
684,240.99,12.144,2926582.56,1513722.1678999998
685,261.33,9.33,2438208.9,1461710.9279
686,266.48,13.196,3516470.08,1509193.6378999997
687,233.22,6.2,1445964.0,1277938.4479
688,261.74,6.532,1709685.68,2688097.9879
689,237.93,4.219,1003826.6700000002,1374160.9279
690,246.0,7.152,1759392.0,1376078.4879000003
691,271.61,4.299,1167651.3900000001,1497931.9079000002
692,248.64,11.914,2962296.9599999995,1381799.0978999997
693,276.58,5.022,1388984.76,1711550.5479000001
694,251.44,4.68,1176739.2,1860717.0878999997
695,236.14,9.938,2346759.3200000003,2056605.8479
696,239.69,8.318,1993741.42,1461418.9279000002
697,260.82,7.959,2075866.38,2552834.7779000006
698,240.02,1.919,460598.38,1450945.9279000002
699,248.79,4.712,1172298.48,1915384.6779000002
700,259.14,10.969,2842506.6599999997,1616111.2279
701,234.7,6.452,1514284.4,1648032.1079000002
702,202.54,12.895,2611753.3,1810926.1479000002
703,233.68,3.295,769975.6,1335183.5279
704,259.24,3.807,986926.68,2557447.9279
705,255.31,13.845,3534766.95,1509608.0778999997
706,235.77,7.535,1776526.9500000002,1786969.9878999998
707,262.71,7.317,1922249.0699999998,2583577.8879000004
708,243.8,5.578,1359916.4000000001,1334677.0679000004
709,240.54,8.447,2031841.38,1602338.7278999998
710,255.21,5.178,1321477.3800000001,1644385.2079
711,249.17,7.908,1970436.3599999999,1387281.9178999998
712,241.18,12.561,3029461.98,1448846.6779
713,247.79,8.926,2211773.54,1376837.2878999996
714,242.79,10.354,2513847.6599999997,1610146.4779
715,253.72,4.894,1241705.68,1416631.7878999999
716,223.69,10.054,2248979.2600000002,1955062.1879
717,236.95,6.981,1654147.9499999997,1288987.9578999996
718,226.88,10.331,2343897.28,1478209.1179000002
719,244.25,9.865,2409526.25,1421890.5379000003
720,252.94,11.517,2913109.9799999995,1396418.7278999996
721,228.01,7.049,1607242.49,1251000.9279
722,240.33,7.306,1755850.9800000002,1821802.6278999997
723,241.61,6.579,1589552.1900000002,1389367.5278999999
724,238.18,8.759,2086218.62,1735212.7878999999
725,249.46,8.59,2142861.4000000004,1375068.9279
726,243.62,7.114,1733112.68,1465814.6279000002
727,267.02,7.788,2079551.7599999998,1783190.4478999998
728,217.79,2.599,566036.21,2118655.8779
729,236.87,3.035,718900.4500000001,2024163.7779000003
730,251.81,5.079,1278942.99,1409886.8279000001
731,240.06,5.289,1269677.3399999999,1346421.6079000002
732,253.3,3.971,1005854.3,1913996.2279
733,268.31,7.089,1902049.59,1474669.5279
734,240.37,4.693,1128056.41,1476308.0879
735,240.21,11.243,2700681.0300000003,1425157.0879
736,255.96,3.558,910705.68,1414348.3179
737,221.98,5.175,1148746.5,1353062.3879000002
738,225.16,5.88,1323940.7999999998,1811966.1379
739,243.52,11.327,2758351.04,1395558.8779
740,252.54,2.981,752821.74,1447407.1979000003
741,240.91,12.506,3012820.46,1441204.4079000002
742,234.33,2.242,525367.8600000001,1358959.6078999997
743,252.25,3.964,999919.0,1447080.0479000001
744,240.82,3.088,743652.16,1332302.9479000003
745,224.63,0.328,73678.64,1299300.2079
746,252.06,4.851,1222743.06,1385985.8879000002
747,196.49,4.646,912892.54,1056872.5279
748,254.74,10.999,2801885.2600000002,1546546.5679
749,260.0,2.692,699920.0000000001,1830613.5678999997
750,263.17,5.721,1505595.57,1477949.8079000004
751,248.13,6.072,1506645.3599999999,1361315.3479
752,256.44,4.701,1205524.44,1404550.8478999997
753,247.85,6.294,1559967.9,1710667.0079
754,244.9,9.695,2374305.5,1419542.8078999997
755,225.22,2.549,574085.78,1926345.5979000002
756,246.0,7.452,1833192.0,1395923.1679
757,256.73,1.948,500110.04000000004,1501639.1179
758,235.18,4.549,1069833.82,1475292.8479000002
759,250.97,9.791,2457247.2700000005,1668787.9379
760,229.83,8.285,1904141.55,1290882.6379
761,231.73,9.036,2093912.28,1274886.9279000002
762,259.83,3.967,1030745.61,1433164.5879000006
763,233.8,6.059,1416594.2,1291079.2478999998
764,224.23,3.106,696458.3799999999,1739240.4679000003
765,232.53,4.29,997553.7000000001,1330136.2478999998
766,234.78,1.228,288309.84,1893203.8279000006
767,222.89,8.362,1863806.1799999997,1226789.6078999997
768,260.97,7.068,1844535.9600000002,2181446.9779
769,254.18,1.189,302220.02,1442591.9279000002
770,255.24,1.481,378010.44,1417212.7678999999
771,229.37,8.909,2043457.33,1312772.6879000005
772,263.22,6.472,1703559.8400000003,1535322.5779000001
773,234.62,1.105,259255.10000000003,1349979.8679
774,266.75,10.741,2865161.7499999995,1585157.1679000002
775,262.98,5.51,1449019.8,1443159.3279000001
776,261.0,0.838,218718.0,1435679.1478999995
777,242.39,4.469,1083240.91,1766475.9278999998
778,241.62,6.825,1649056.5000000002,1382543.7278999998
779,249.7,7.696,1921691.1999999997,1510872.5779
780,255.25,6.086,1553451.5000000002,2367318.6679
781,232.16,10.601,2461128.16,1267655.8579
782,243.73,10.345,2521386.85,1725228.0079
783,223.52,2.826,631667.5200000001,1316415.0779000001
784,235.16,7.239,1702323.24,1686827.8579000002
785,247.4,3.979,984404.6000000001,1382454.9879
786,238.62,5.156,1230324.7199999997,1321541.1279000002
787,250.43,3.434,859976.62,1605192.4079
788,254.0,6.373,1618742.0,1447392.5279000003
789,260.2,5.504,1432140.7999999998,1569590.5279000003
790,254.09,5.557,1411978.1300000001,1392846.3779
791,225.99,6.769,1529726.31,1236409.5378999999
792,226.78,11.639,2639492.42,1241771.8779
793,257.16,8.015,2061137.4000000006,1409829.6878999998
794,220.37,8.774,1933526.38,1297141.4279
795,249.27,8.97,2235951.9000000004,2282510.9279
796,255.93,13.152,3365991.36,2219297.7279000003
797,241.75,3.863,933880.25,1340916.9478999996
798,250.64,8.6,2155504.0,1387631.7078999998
799,234.57,5.677,1331653.89,1320229.7478999996
800,265.83,5.405,1436811.15,1502954.3278999997
801,234.5,6.537,1532926.5,1513711.5679
802,217.12,4.127,896054.24,1205053.9479000003
803,278.51,3.044,847784.4400000001,1629134.1779
804,256.41,7.437,1906921.1700000004,1448790.0478999997
805,264.53,8.768,2319399.0399999996,1459989.6478999997
806,251.45,6.168,1550943.6,1479686.6079000004
807,245.44,8.957,2198406.08,2572559.8779
808,250.26,4.12,1031071.2000000001,1376196.6279
809,237.08,8.102,1920822.1600000001,1487096.0679000001
810,229.16,3.468,794726.8799999999,1238262.4479
811,252.15,5.617,1416326.55,1433694.5279
812,217.92,2.936,639813.1199999999,1621686.3279000001
813,241.06,12.386,2985769.1599999997,2116214.1679
814,233.96,7.141,1670708.36,1556238.3079
815,233.31,7.676,1790887.56,1510996.9878999998
816,214.72,6.701,1438838.72,1196155.8079
817,246.29,2.793,687887.97,1488224.0279
818,250.74,6.95,1742643.0,1548064.5279
819,241.6,7.861,1899217.5999999999,2002241.3779000004
820,236.53,7.975,1886326.75,1702185.4279000002
821,258.69,9.039,2338298.91,1480200.9679000003
822,240.76,4.078,981819.28,1325677.1679
823,255.88,6.728,1721560.64,1429700.7879
824,245.81,8.667,2130435.27,1363035.5179000003
825,222.36,8.332,1852703.5200000003,2171906.2279
826,229.0,3.418,782722.0,1306361.1279
827,262.0,11.458,3001996.0,1446408.1278999997
828,217.74,7.714,1679646.36,1217431.3479000004
829,269.51,11.424,3078882.2399999998,1526113.9279000002
830,223.23,13.271,2962485.33,1352841.0078999999
831,235.6,12.482,2940759.2,1308243.4278999998
832,232.16,7.51,1743521.6,1350983.9978999998
833,264.29,10.856,2869132.24,1920458.6779000007
834,277.86,10.196,2833060.56,1535654.1078999997
835,242.76,8.14,1976066.4000000001,1457221.8779000002
836,242.31,4.123,999044.1300000001,1397464.1579000002
837,259.44,10.184,2642136.96,1491598.5479000004
838,249.08,13.075,3256721.0,1628886.8279000001
839,245.23,6.449,1581488.2699999998,1821352.3679000004
840,253.05,8.289,2097531.4499999997,2628486.1879000003
841,253.47,5.445,1380144.1500000001,1768928.0379000006
842,258.0,11.489,2964162.0000000005,1404572.7279000003
843,254.81,5.898,1502869.38,1453951.8279000001
844,220.19,0.005,1100.95,1202866.7678999999
845,235.92,1.292,304808.63999999996,1342380.5278999999
846,232.17,13.219,3069055.2299999995,1623967.4878999998
847,214.6,8.542,1833113.2,1192763.7378999998
848,257.76,7.175,1849428.0,1801940.5279
849,252.12,12.915,3256129.8,1434962.1979
850,222.98,12.269,2735741.6199999996,1485993.9978999998
851,254.92,5.648,1439788.16,1566250.4479000003
852,235.47,7.353,1731410.91,1875105.6479
853,243.0,5.142,1249506.0,1339360.8279000001
854,247.58,8.84,2188607.1999999997,1382244.7279
855,219.42,3.998,877241.16,1852554.8479
856,256.02,5.85,1497716.9999999998,1601312.0479
857,269.18,3.209,863798.62,1502299.5879000002
858,247.8,4.437,1099488.6,1396136.5479
859,252.37,14.033,3541508.21,1441943.9179000002
860,254.15,5.216,1325646.4000000001,1427893.3279000006
861,266.58,5.316,1417139.2799999998,1461564.2279000005
862,244.21,1.669,407586.49000000005,1353384.4379000003
863,260.84,3.817,995626.2799999999,1438527.7479
864,239.04,3.74,894009.6,1298785.6279000002
865,242.65,6.518,1581592.7,1718905.7779
866,234.73,6.113,1434904.4900000002,1760454.7279
867,251.34,7.544,1896108.96,1393679.6379000002
868,242.38,4.696,1138216.4799999997,1703750.6179
869,237.77,10.885,2588126.45,2431854.2879
870,252.52,5.826,1471181.5199999998,1534008.3779000002
871,264.33,4.287,1133182.7099999997,1460231.0079000003
872,233.68,8.834,2064329.1199999999,1330711.0779
873,227.89,9.673,2204379.9699999997,1251634.2778999994
874,234.78,2.781,652923.18,1287936.5079000003
875,258.0,5.358,1382363.9999999998,1462541.9279
876,231.75,9.239,2141138.25,1278558.5179
877,249.71,7.17,1790420.7000000002,1400355.1678999998
878,259.21,8.249,2138223.29,1433100.8079000001
879,249.78,7.676,1917311.28,1837612.1379
880,261.08,4.576,1194702.0799999998,1440952.6478999995
881,224.43,5.743,1288901.4900000002,1420246.6779
882,257.51,2.772,713817.7199999999,1832571.0079
883,221.94,7.742,1718259.48,1312337.1078999997
884,228.51,4.195,958599.4500000001,1263336.1979
885,250.08,9.195,2299485.6,1711743.9079
886,245.57,8.429,2069909.5299999998,1351209.0479000004
887,235.61,7.349,1731497.8900000001,1311387.3978999995
888,258.03,3.161,815632.8299999998,1471611.5279
889,252.21,9.977,2516299.1700000004,1397901.2878999999
890,233.46,0.708,165289.68,1339531.2478999996
891,258.3,7.002,1808616.6,1824559.8479
892,237.93,6.245,1485872.8499999999,1473473.7179
893,250.8,7.851,1969030.8,1381526.5879000002
894,242.94,4.115,999698.1000000001,1591147.8479
895,248.94,9.687,2411481.78,1353086.0278999999
896,235.07,12.13,2851399.1,1304619.4478999996
897,255.11,4.326,1103605.8599999999,1646978.5278999999
898,248.11,10.247,2542383.17,1842930.7278999998
899,262.35,4.754,1247211.9,1457921.0479000001
900,247.53,7.127,1764146.3099999998,1665920.7379
901,248.89,8.697,2164596.33,1457125.0979
902,258.63,3.42,884514.6,1801573.1679
903,243.27,0.886,215537.22000000003,1539535.3979
904,237.11,4.962,1176539.82,1465299.0278999999
905,240.04,9.873,2369914.92,1327022.5078999999
906,256.64,5.231,1342483.8399999999,1720452.8179
907,238.98,5.735,1370550.3,1491801.6079000002
908,250.52,6.655,1667210.6,1374062.8478999997
909,234.9,5.583,1311446.7,2208617.2279000003
910,223.14,4.308,961287.12,1254513.1479
911,207.76,6.868,1426895.6800000002,1553008.9679
912,263.81,4.857,1281325.1700000002,1477615.3079000006
913,210.12,6.735,1415158.2000000002,1626164.4378999998
914,231.29,3.996,924234.84,1654170.0879
915,245.62,6.926,1701164.12,1457686.0879
916,243.68,0.962,234420.16,1421726.7678999999
917,233.12,6.6,1538591.9999999998,1269826.5479
918,261.93,5.363,1404730.59,2898931.4079
919,255.54,9.24,2361189.6,1428189.3279000001
920,254.47,9.542,2428152.74,1404226.7378999998
921,252.36,4.661,1176249.96,1467999.8079000001
922,233.38,3.451,805394.38,1439600.5279
923,234.14,7.303,1709924.42,1517252.9779
924,253.05,4.894,1238426.7,1446008.8479
925,229.97,8.654,1990160.3800000001,1499563.1179
926,249.65,2.391,596913.15,1667803.0879
927,212.19,5.232,1110178.08,1574878.0579000001
928,245.68,9.289,2282121.52,1378345.3478999997
929,243.72,8.555,2085024.5999999996,1371046.2078999998
930,228.75,6.681,1528278.75,1522072.0879000002
931,245.04,3.774,924780.96,1695789.1878999998
932,259.71,3.454,897038.34,2021595.4279000002
933,248.97,5.182,1290162.54,1422726.8878999995
934,247.95,7.25,1797637.4999999998,1797420.3778999997
935,239.1,7.613,1820268.3,1555921.7979000001
936,249.9,11.421,2854107.9,1397094.9279
937,241.18,2.541,612838.38,1457628.2279
938,244.7,12.864,3147820.8,1579225.4679000003
939,251.12,5.61,1408783.2000000002,1380836.9278999998
940,258.47,7.071,1827641.37,1432774.2779
941,256.15,0.231,59170.649999999994,1746416.8279
942,251.47,3.784,951562.48,1397259.6079000002
943,259.36,6.229,1615553.4400000002,1727877.4978999998
944,255.77,9.098,2326995.46,1719515.8879
945,228.42,1.791,409100.22,1273989.1779
946,254.05,9.546,2425161.3,1806763.7278999998
947,260.15,4.549,1183422.35,1455893.5078999996
948,260.89,11.887,3101199.43,2228010.9379000003
949,262.55,9.411,2470858.05,1471177.6079
950,239.39,7.923,1896686.97,1548903.1379
951,245.74,8.154,2003763.96,1375261.7679
952,229.03,5.329,1220500.8699999999,1300237.6478999997
953,245.6,6.95,1706920.0,1845297.6779
954,244.92,9.436,2311065.1199999996,1580766.8479
955,227.05,8.997,2042768.85,1407113.5879
956,244.32,13.294,3247990.08,1373470.1279000002
957,248.17,9.757,2421394.6899999995,1802322.4478999998
958,273.8,6.444,1764367.2000000002,2156205.7079
959,265.19,3.678,975368.8200000001,1486890.7079
960,232.57,5.858,1362395.0599999998,1583751.4479000003
961,245.72,3.856,947496.32,1702319.6778999998
962,247.39,11.631,2877393.09,1505326.5479
963,258.89,8.048,2083546.7199999997,1788476.9179000002
964,249.98,5.444,1360891.12,1450926.7679
965,259.62,1.723,447325.26,2410219.8778999997
966,256.71,7.759,1991812.89,2062847.8578999997
967,245.13,5.122,1255555.8599999999,1397439.3079
968,241.29,6.636,1601200.4400000002,1328742.7879000003
969,231.02,2.657,613820.14,1315948.3679000004
970,241.55,6.25,1509687.5,1823301.6878999998
971,228.56,10.202,2331769.12,1284289.2879
972,225.57,12.372,2790752.04,1402543.9678999998
973,236.49,5.569,1317012.81,1387684.3679000002
974,264.42,7.344,1941900.4800000002,1704273.5379
975,270.46,6.059,1638717.14,1615258.0279
976,229.68,6.433,1477531.44,1486885.6679000002
977,250.6,5.724,1434434.4000000001,1996472.3079000001
978,223.44,10.773,2407119.1199999996,1224427.4778999998
979,260.8,2.377,619921.6,1440916.9378999993
980,242.49,0.885,214603.65000000002,1534300.3279
981,229.73,12.256,2815570.88,1278175.1578999995
982,236.23,11.635,2748536.05,1305434.0779000001
983,238.3,11.167,2661096.1,1446125.3179000001
984,256.01,6.369,1630527.69,1497694.2878999999
985,222.41,12.61,2804590.1,1354946.9279000002
986,229.13,2.812,644313.5599999999,1248514.1279000002
987,264.69,9.234,2444147.46,1463920.6979000003
988,233.46,14.163,3306493.98,1321521.8879
989,241.92,10.235,2476051.1999999997,1790755.6279
990,251.07,3.318,833050.26,1471182.9279
991,245.89,4.74,1165518.5999999999,1352219.7279
992,235.56,6.707,1579900.92,1497317.4679
993,252.97,10.988,2779634.36,1400496.0379
994,257.75,4.831,1245190.25,1737541.7479
995,246.32,5.091,1254015.12,1359957.3779000002
996,253.93,7.909,2008332.37,1512756.0379
997,243.32,1.327,322885.63999999996,1332807.1478999995
998,259.17,6.731,1744473.2700000003,1431139.4279
999,262.77,11.81,3103313.6999999997,2216003.0479
